Time,Traj_X,Traj_Y,Traj_Z
69.205,0.336253,0.944127,0
69.21,0.336168,0.94417,0
69.215,0.336083,0.944212,0
69.22,0.335997,0.944255,0
69.225,0.335912,0.944298,0
69.23,0.335827,0.94434,0
69.235,0.335742,0.944383,0
69.24,0.335657,0.944426,0
69.245,0.335572,0.944468,0
69.25,0.335487,0.944511,0
69.255,0.335402,0.944553,0
69.26,0.335317,0.944596,0
69.265,0.335232,0.944639,0
69.27,0.335147,0.944681,0
69.275,0.335062,0.944724,0
69.28,0.334977,0.944767,0
69.285,0.334892,0.944809,0
69.29,0.334807,0.944852,0
69.295,0.334722,0.944894,0
69.3,0.334637,0.944937,0
69.305,0.334552,0.944979,0
69.31,0.334466,0.945022,0
69.315,0.334381,0.945065,0
69.32,0.334296,0.945107,0
69.325,0.334211,0.94515,0
